CustomerID,Recency,Tenure,Frequency,TotalQuantity,Monetary,AOV,Predicted_CLV,Segment
12346.0,325,0,1,74215,77183.6,77183.6,77062.35,High
12347.0,1,365,7,2458,4310.0,615.7142857142857,4212.777,High
12348.0,74,282,4,2341,1797.24,449.31,2202.311,High
12349.0,18,0,1,631,1757.55,1757.55,1679.8652,High
12350.0,309,0,1,197,334.4,334.4,294.72305,Low
12352.0,35,260,8,536,2506.04,313.255,2221.5205,High
12353.0,203,0,1,20,89.0,89.0,87.17607,Low
12354.0,231,0,1,530,1079.4,1079.4,1080.3463,Medium
12355.0,213,0,1,240,459.4,459.4,503.986,Medium
12356.0,22,302,3,1591,2811.43,937.1433333333333,2960.9058,High
12357.0,32,0,1,2708,6207.67,6207.67,5822.533,High
12358.0,1,149,2,248,1168.06,584.03,1060.5012,Medium
12359.0,57,274,4,1622,6372.58,1593.145,4946.6123,High
12360.0,51,148,3,1165,2662.06,887.3533333333334,2517.9104,High
12361.0,286,0,1,91,189.9,189.9,196.53816,Low
12362.0,2,292,10,2229,5226.23,522.6229999999999,4788.8467,High
12363.0,109,132,2,408,552.0,276.0,606.1954,Medium
12364.0,7,104,4,1506,1313.1,328.275,1405.4918,High
12365.0,290,0,2,174,641.38,320.69,461.29163,Medium
12367.0,3,0,1,173,168.9,168.9,169.81544,Low
12370.0,50,309,4,2353,3545.69,886.4225,3896.354,High
12371.0,44,14,2,591,1887.96,943.98,1544.7103,High
12372.0,71,224,3,794,1298.04,432.68,1275.19,High
12373.0,310,0,1,197,364.6,364.6,350.75955,Low
12374.0,24,0,1,342,742.9300000000001,742.9300000000001,723.7706,Medium
12375.0,10,87,2,178,457.5,228.75,399.59094,Medium
12377.0,314,39,2,944,1628.12,814.06,1633.9088,High
12378.0,129,0,1,2529,4008.62,4008.62,4006.2573,High
12379.0,81,88,2,407,852.24,426.12,846.9126,Medium
12380.0,21,164,4,1127,2724.81,681.2025,2513.017,High
12381.0,4,115,5,808,1845.31,369.062,1783.1683,High
12383.0,184,167,5,1532,1850.56,370.11199999999997,1784.0819,High
12384.0,28,92,2,126,585.27,292.635,508.29733,Medium
12386.0,337,29,2,354,401.9,200.95,472.12863,Medium
12388.0,15,311,6,1462,2780.66,463.4433333333333,2788.1077,High
12390.0,79,0,1,353,549.84,549.84,665.343,Medium
12391.0,21,0,1,300,460.89,460.89,530.14154,Medium
12393.0,71,260,4,816,1582.6000000000001,395.65000000000003,1636.6506,High
12394.0,63,153,2,819,1272.48,636.24,1315.252,High
12395.0,18,351,12,2118,3018.63,251.5525,3169.8135,High
12397.0,35,99,2,1263,2409.9,1204.95,2303.9731,High
12398.0,45,0,1,1394,1635.6599999999999,1635.6599999999999,1901.8384,High
12399.0,118,142,4,1178,1108.65,277.1625,1226.0892,High
12401.0,302,0,1,11,84.3,84.3,84.41284,Low
12402.0,322,0,1,94,225.6,225.6,222.87526,Low
12403.0,49,0,1,96,427.7,427.7,417.07455,Medium
12405.0,148,0,1,857,1710.39,1710.39,1758.0538,High
12406.0,21,161,2,1818,3415.3,1707.65,3354.2266,High
12407.0,49,214,5,1416,1708.1200000000001,341.624,1750.7659,High
12408.0,32,227,5,1409,2888.55,577.71,2794.459,High
12409.0,78,103,3,5551,11072.67,3690.89,10887.71,High
12410.0,308,0,2,211,693.3299999999999,346.66499999999996,575.5632,Medium
12412.0,74,94,3,829,1226.88,408.96000000000004,1271.6349,High
12413.0,66,270,3,286,758.1,252.70000000000002,670.32855,Medium
12414.0,216,93,3,300,562.41,187.47,579.91406,Medium
12415.0,23,313,21,77374,124914.53,5948.310952380953,124883.8,High
12417.0,2,354,9,1552,3649.1,405.4555555555555,3533.0615,High
12418.0,112,0,1,407,668.58,668.58,679.1321,Medium
12420.0,63,0,1,345,600.39,600.39,665.6764,Medium
12421.0,15,303,4,484,807.04,201.76,819.13464,Medium
12422.0,95,229,3,370,803.5600000000001,267.85333333333335,789.87695,Medium
12423.0,0,352,8,1339,1859.31,232.41375,2006.7413,High
12424.0,162,0,2,740,1760.96,880.48,1560.9945,High
12425.0,77,0,1,496,777.2,777.2,757.677,Medium
12426.0,194,0,1,258,582.73,582.73,595.2857,Medium
12427.0,21,349,3,533,825.8,275.26666666666665,874.42633,Medium
12428.0,25,257,9,3536,7956.46,884.0511111111111,7905.1206,High
12429.0,8,356,4,1557,3750.4,937.6,3639.1396,High
12430.0,42,0,1,117,256.4,256.4,266.3915,Low
12431.0,35,338,15,2906,6487.45,432.49666666666667,6187.262,High
